"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202605","1호선","동대문","715","21","10855","2123","9369","7719","15679","13308","23181","21863","24194","25683","22740","30558","24710","36296","29012","36091","33750","37012","37736","37031","39923","35715","41591","32699","38909","29635","33855","27371","25351","24798","21870","18498","18486","17979","13800","16407","6833","10982","875","3171","0","264","2","0","0","0","20260603"
"202605","1호선","동묘앞","161","3","2920","1105","4082","6397","8524","11756","13636","23384","13719","21962","16234","32111","22981","43169","31516","45438","39569","48217","42949","43492","44924","37395","44096","27547","39989","19718","28664","14975","15951","10395","8631","7612","6340","7688","4155","7753","1675","5199","125","2420","0","314","0","0","0","0","20260603"
"202605","1호선","서울역","802","57","12246","11962","37333","70445","107361","132338","178791","245420","142378","179215","122893","121176","129237","118236","145468","130777","136163","126488","118917","115493","147845","137678","166132","148477","233468","180949","257442","205329","151798","142392","117591","108760","117020","103916","79512","76080","42104","40460","5016","9678","16","207","0","0","0","0","20260603"
"202605","1호선","시청","158","0","1859","5829","4191","30940","7444","74119","10374","192011","13873","90924","16273","54373","22313","50702","26095","45875","35051","44604","45251","36175","56606","31963","68646","30024","100900","30715","152812","26496","64223","14337","60588","10436","52401","9211","33102","6594","10836","3808","576","1016","0","20","0","0","0","0","20260603"
"202605","1호선","신설동","427","13","8823","2285","10820","9884","22089","25082","32473","50535","24007","32368","22142","23140","24045","21057","25061","21004","27258","22280","25571","21073","27600","22533","31757","24325","42742","27371","51714","32511","21993","23502","15953","18649","14186","18451","9981","16147","4630","11044","498","3040","1","4","0","0","0","0","20260603"
