"기준_년분기_코드","행정동_코드","행정동_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20261","11740700","둔촌2동","24228","11861","12367","3360","3110","3688","3495","3911","6664","1764","1532","1874","1752","1868","3071","1596","1578","1814","1743","2043","3593","10426","0","10426"
"20261","11740690","둔촌1동","16","10","6","2","0","1","5","1","7","2","0","1","2","0","5","0","0","0","3","1","2","11","0","11"
"20261","11740685","길동","44395","21594","22801","4611","6297","7127","6419","7099","12842","2411","2946","3637","3290","3428","5882","2200","3351","3490","3129","3671","6960","21799","0","21799"
"20261","11740660","성내3동","22433","10963","11470","2471","3268","3311","3357","3800","6226","1392","1667","1703","1625","1817","2759","1079","1601","1608","1732","1983","3467","10645","0","10645"
"20261","11740650","성내2동","23452","11433","12019","1873","3921","4390","3062","3447","6759","986","1657","2269","1606","1749","3166","887","2264","2121","1456","1698","3593","13395","0","13395"
